model,input_file,summary_file,thoughts_file,seconds,tokens
google_gemma-3-12b-it-qat,split_chatconversations\crystalclear_chats_10.v3_01.txt,output\stage-1\google_gemma-3-12b-it-qat\crystalclear_chats_10.v3_01_summary.txt,,54.85,829
google_gemma-3-12b-it-qat,split_chatconversations\crystalclear_chats_10.v3_02.txt,output\stage-1\google_gemma-3-12b-it-qat\crystalclear_chats_10.v3_02_summary.txt,,330.04,5183
google_gemma-3-12b-it-qat,split_chatconversations\crystalclear_chats_10.v3_03.txt,output\stage-1\google_gemma-3-12b-it-qat\crystalclear_chats_10.v3_03_summary.txt,,26.55,781
google_gemma-3-12b-it-qat,split_chatconversations\crystalclear_chats_10.v3_04.txt,output\stage-1\google_gemma-3-12b-it-qat\crystalclear_chats_10.v3_04_summary.txt,,225.37,3190
google_gemma-3-12b-it-qat,split_chatconversations\crystalclear_chats_10.v3_05.txt,output\stage-1\google_gemma-3-12b-it-qat\crystalclear_chats_10.v3_05_summary.txt,,36.38,147
google_gemma-3-12b-it-qat,split_chatconversations\crystalclear_chats_10.v3_06.txt,output\stage-1\google_gemma-3-12b-it-qat\crystalclear_chats_10.v3_06_summary.txt,,131.23,1718
google_gemma-3-12b-it-qat,split_chatconversations\crystalclear_chats_10.v3_07.txt,output\stage-1\google_gemma-3-12b-it-qat\crystalclear_chats_10.v3_07_summary.txt,,73.51,727
google_gemma-3-12b-it-qat,split_chatconversations\crystalclear_chats_10.v3_08.txt,output\stage-1\google_gemma-3-12b-it-qat\crystalclear_chats_10.v3_08_summary.txt,,79.04,781
google_gemma-3-12b-it-qat,split_chatconversations\crystalclear_chats_10.v3_09.txt,output\stage-1\google_gemma-3-12b-it-qat\crystalclear_chats_10.v3_09_summary.txt,,88.77,914
google_gemma-3-12b-it-qat,split_chatconversations\crystalclear_chats_10.v3_10.txt,output\stage-1\google_gemma-3-12b-it-qat\crystalclear_chats_10.v3_10_summary.txt,,88.6,916
qwen3-14b,split_chatconversations\crystalclear_chats_10.v3_01.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_01_summary.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_01_thoughts.txt,67.92,1172
qwen3-14b,split_chatconversations\crystalclear_chats_10.v3_02.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_02_summary.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_02_thoughts.txt,92.46,756
qwen3-14b,split_chatconversations\crystalclear_chats_10.v3_03.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_03_summary.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_03_thoughts.txt,47.75,1337
qwen3-14b,split_chatconversations\crystalclear_chats_10.v3_04.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_04_summary.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_04_thoughts.txt,102.09,844
qwen3-14b,split_chatconversations\crystalclear_chats_10.v3_05.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_05_summary.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_05_thoughts.txt,67.54,404
qwen3-14b,split_chatconversations\crystalclear_chats_10.v3_06.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_06_summary.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_06_thoughts.txt,124.03,1447
qwen3-14b,split_chatconversations\crystalclear_chats_10.v3_07.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_07_summary.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_07_thoughts.txt,123.96,1466
qwen3-14b,split_chatconversations\crystalclear_chats_10.v3_08.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_08_summary.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_08_thoughts.txt,121.37,1365
qwen3-14b,split_chatconversations\crystalclear_chats_10.v3_09.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_09_summary.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_09_thoughts.txt,104.65,950
qwen3-14b,split_chatconversations\crystalclear_chats_10.v3_10.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_10_summary.txt,output\stage-1\qwen3-14b\crystalclear_chats_10.v3_10_thoughts.txt,105.56,969
phi-4-reasoning,split_chatconversations\crystalclear_chats_10.v3_01.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_01_summary.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_01_thoughts.txt,400.74,11266
phi-4-reasoning,split_chatconversations\crystalclear_chats_10.v3_02.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_02_summary.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_02_thoughts.txt,525.24,10062
phi-4-reasoning,split_chatconversations\crystalclear_chats_10.v3_03.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_03_summary.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_03_thoughts.txt,524.53,15124
phi-4-reasoning,split_chatconversations\crystalclear_chats_10.v3_04.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_04_summary.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_04_thoughts.txt,119.05,1283
